Headline,Summary,Date,Link,Preprocessed_Summary,Sentiment,Sentiment_Label,Top_Keywords,Entities
"Frequent Cannabis Use May Damage Working Memory, Decision-Making Skills","New research shows that heavy lifetime use of cannabis — more than 1,000 times — is associated with reduced activity in areas of the brain involved in…",01-02-2025,https://www.healthline.com/health-news/frequent-cannabis-use-may-damage-working-memory,"new research show heavy lifetime use cannabis — 1,000 time — associate reduce activity area brain involve …",-0.03,Negative,"['research', 'reduce', 'associate', 'new', 'water', 'female']","[('1,000', 'CARDINAL')]"
Fate of Medicaid Uncertain During Trump's Freeze on Federal Grants,Medicaid is under review during the Trump administration's freeze on federal grants. Republican leaders are reportedly eyeing Medicaid as a major…,31-01-2025,https://www.healthline.com/health-news/trump-administration-freezes-federal-funding-medicaid,medicaid review trump administration 's freeze federal grant republican leader reportedly eye medicaid major …,0.06,Positive,"['federal', 'trump', 'female', 'jr', 'issue', 'human']","[('medicaid review', 'ORG'), ('republican', 'NORP'), ('medicaid', 'ORG')]"
Artificial sweetener may increase heart disease risk by triggering insulin surges,"A common artificial sweetener may trigger insulin spikes that lead to the build up of fatty plaques in the arteries, increasing the risk of heart…",20-02-2025,https://www.medicalnewstoday.com/articles/artificial-sweetener-triggers-insulin-spike-leading-to-blood-vessel-inflammation-in-mice,common artificial sweetener may trigger insulin spike lead build fatty plaque artery increase risk heart …,-0.37,Negative,"['common', 'lead', 'heart', 'increase', 'risk', 'may']",[]
"Drug for diabetes and kidney disease may also lower heart attack, stroke risks",An FDA-approved medication already used to treat people who have type 2 diabetes and chronic kidney disease may also help lower their stroke and heart…,19-02-2025,https://www.medicalnewstoday.com/articles/drug-diabetes-kidney-disease-may-also-lower-heart-attack-stroke-risks,fda approve medication already use treat people type 2 diabete chronic kidney disease may also help lower stroke heart …,0.0,Neutral,"['lower', 'use', 'heart', 'disease', 'people', 'help']","[('fda', 'ORG'), ('2', 'CARDINAL')]"
A natural supplement may help people with a new type of heart disease,"The supplement tricaprin, which is found in coconut or MCT oil, improved long-term survival for people with triglyceride deposit cardiomyovasculopathy,",19-02-2025,https://www.medicalnewstoday.com/articles/natural-supplement-tricaprin-may-help-people-new-type-heart-disease,supplement tricaprin find coconut mct oil improve long term survival people triglyceride deposit cardiomyovasculopathy,-0.05,Negative,"['oil', 'people', 'find', 'decrease', 'factor', 'experience']",[]
TikTok Misinformation About ADHD Is Misleading Young Adults: Study,"A new analysis found that medical misinformation surrounding attention deficit hyperactivity disorder (ADHD) is prevalent on TikTok, with the content…",21-03-2025,https://www.healthline.com/health-news/adhd-misinformation-tiktok-young-adults,new analysis find medical misinformation surround attention deficit hyperactivity disorder adhd prevalent tiktok content …,0.07,Positive,"['find', 'new', 'water', 'federal', 'human', 'high']",[]
Health misinformation and disinformation: How to avoid it,"How can we learn to spot inaccurate and even malicious health information? Why do we fall so easily for false health info, and how can we update our…",2025-02-21 00:00:00,https://www.medicalnewstoday.com/articles/health-misinformation-and-disinformation-how-to-avoid-it,learn spot inaccurate even malicious health information fall easily false health info update …,-0.4000000000000001,Negative,"['health', 'year', 'decline', 'eat', 'early', 'drug']",[]
Could the probiotic kefir help fight Alzheimer’s disease?,The probiotic-rich drink kefir may be a potential complementary treatment for Alzheimer’s disease by helping improve cognitive functioning and memory…,2025-03-23 00:00:00,https://www.medicalnewstoday.com/articles/could-probiotic-kefir-help-fight-alzheimers-disease,probiotic rich drink kefir may potential complementary treatment alzheimer ’s disease help improve cognitive functioning memory …,0.1875,Positive,"['alzheimer', 'treatment', 'disease', 'cognitive', 'help', 'may']","[('kefir', 'PERSON')]"
Red wine or white? Which one is worse for cancer risk?,"White wine may increase the risk for cancer, recent cohort studies suggest. More specifically, it is linked to increased skin cancer risk in women.",2025-03-22 00:00:00,https://www.medicalnewstoday.com/articles/is-red-wine-a-healthier-choice-than-white-wine-epidemiologists-uncork-the-cancer-risks,white wine may increase risk cancer recent cohort study suggest specifically link increase skin cancer risk woman,0.0,Neutral,"['cancer', 'increase', 'risk', 'suggest', 'link', 'recent']",[]
"Healthy plant-based diets may help people with diabetes, obesity live longer","Eating a healthy plant-based diet that includes vegetables, tea, and coffee may help people with cardiometabolic conditions—such as obesity, diabetes…",2025-03-21 00:00:00,https://www.medicalnewstoday.com/articles/healthy-plant-based-diets-may-help-diabetes-obesity-heart-disease-live-longer,eat healthy plant base diet include vegetable tea coffee may help people cardiometabolic condition — obesity diabete …,-0.15,Negative,"['eat', 'include', 'condition', 'diet', 'people', 'help']",[]
