ID,Article,Authors,Published_Year,Tag,Link
40113535,Decoding microglial functions in Alzheimer's disease: insights from human models.,"['Rao C', 'Semrau S', 'Fossati V.']",2025,Trends Immunol.,https://pubmed.ncbi.nlm.nih.gov/40113535/
40113530,Targeting novel immune checkpoints in the B7-H family: advancing cancer immunotherapy from bench to bedside.,"['Luo Y', 'Yuan Y', 'Liu D', 'Peng H', 'Shen L', 'Chen Y.']",2025,Trends Cancer.,https://pubmed.ncbi.nlm.nih.gov/40113530/
40113355,"Clinical and cost-effectiveness of lithium versus quetiapine augmentation for treatment-resistant depression: a pragmatic, open-label, parallel-group, randomised controlled superiority trial in the UK.","['Cleare AJ', 'Kerr-Gaffney J', 'Goldsmith K', 'Zenasni Z', 'Yaziji N', 'Jin H', 'Colasanti A', 'Geddes JR', 'Kessler D', 'McAllister-Williams RH', 'Young AH', 'Barrera A', 'Marwood L', 'Taylor RW', 'Tee H; LQD Study Group.']",2025,Lancet Psychiatry.,https://pubmed.ncbi.nlm.nih.gov/40113355/
40113243,"Rectal diclofenac versus indomethacin for prevention of post-ERCP pancreatitis (DIPPP): a multicentre, double-blind, randomised, controlled trial.","['Kang X', 'Xia M', 'Wang J', 'Wang X', 'Luo H', 'Qin W', 'Liang Z', 'Zhao G', 'Yang L', 'Sun H', 'Tao J', 'Ning B', 'Zhong L', 'Zhang R', 'Ma X', 'Zhao J', 'Yue L', 'Jin H', 'Kang C', 'Ren G', 'Liang S', 'Wang H', 'Wang L', 'Nie Y', 'Wu K', 'Fan DM', 'Pan Y.']",2025,Gut.,https://pubmed.ncbi.nlm.nih.gov/40113243/
40113099,"From ""Burnt-Out"" to ""Burning-Out"": Capturing Liver Fat Loss in Patients with Advanced Metabolic Dysfunction-Associated Steatotic Liver Disease from A Dynamic Perspective.","['Liu WY', 'Huang S', 'Ji H', 'Kim SU', 'Cheuk-Fung Yip T', 'Lai-Hung Wong G', 'Petta S', 'Tsochatzis E', 'Nakajima A', 'Bugianesi E', 'George Goh BB', 'Chan WK', 'Romero-Gomez M', 'Sanyal AJ', 'Boursier J', 'Hagström H', 'Calleja JL', 'de Lédinghen V', 'Newsome PN', 'Fan JG', 'Lai M', 'Castéra L', 'Lee HW', 'Pennisi G', 'Yoneda M', 'Armandi A', 'Kim-Jun Teh K', 'Gallego-Durán R', 'Asgharpour A', 'de Saint-Loup M', 'Shang Y', 'Llop E', 'Fournier C', 'Mahgoub S', 'Lara-Romero C', 'Canivet CM', 'Sau-Wai Chan M', 'Lin H', 'Chen LL', 'Targher G', 'Byrne CD', 'Du M', 'Wai-Sun Wong V', 'Zheng MH; VCTE-Prognosis Study Group.']",2025,Gastroenterology.,https://pubmed.ncbi.nlm.nih.gov/40113099/
40113019,MRGPRX2 Gain-of-Function Mutation Drives Enhanced Mast Cell Reactivity in Chronic Spontaneous Urticaria.,"['Ye D', 'Zhang Y', 'Zhao X', 'Zhou H', 'Guo J', 'Yang M', 'Niu X', 'Wang X', 'Yuan J', 'Ren J', 'Geng S', 'Zeng W', 'Wang Z.']",2025,J Allergy Clin Immunol.,https://pubmed.ncbi.nlm.nih.gov/40113019/
40112851,"Neoadjuvant chemoradiotherapy followed by active surveillance versus standard surgery for oesophageal cancer (SANO trial): a multicentre, stepped-wedge, cluster-randomised, non-inferiority, phase 3 trial.","['van der Wilk BJ', 'Eyck BM', 'Wijnhoven BPL', 'Lagarde SM', 'Rosman C', 'Noordman BJ', 'Valkema MJ', 'Bisseling TM', 'Coene PLO', 'van Det MJ', 'Dekker JWT', 'van Dieren JM', 'Doukas M', 'van Esser S', 'Fiets WE', 'Hartgrink HH', 'Heisterkamp J', 'Holster IL', 'Klarenbeek B', 'van Klaveren D', 'Kouw E', 'Kouwenhoven EA', 'Luyer MD', 'Mostert B', 'Nieuwenhuijzen GAP', 'Oostenbrug LE', 'Pierie JP', 'van Sandick JW', 'Sosef MN', 'Spaander MCW', 'Valkema R', 'van der Zaag ES', 'Steyerberg EW', 'van Lanschot JJB; SANO Study Group.']",2025,Lancet Oncol.,https://pubmed.ncbi.nlm.nih.gov/40112851/
40112816,m6A deficiency impairs hypothalamic neurogenesis of feeding-related neurons in mice and human organoids and leads to adult obesity in mice.,"['Shen Y', 'Wong SZH', 'Ma T', 'Zhang F', 'Wang Q', 'Kawaguchi R', 'Geschwind DH', 'Wang J', 'He C', 'Ming GL', 'Song H.']",2025,Cell Stem Cell.,https://pubmed.ncbi.nlm.nih.gov/40112816/
40112815,Ketamine rescues anhedonia by cell-type- and input-specific adaptations in the nucleus accumbens.,"['Lucantonio F', 'Roeglin J', 'Li S', 'Lu J', 'Shi A', 'Czerpaniak K', 'Fiocchi FR', 'Bontempi L', 'Shields BC', 'Zarate CA Jr', 'Tadross MR', 'Pignatelli M.']",2025,Neuron.,https://pubmed.ncbi.nlm.nih.gov/40112815/
40112813,APOE genotype determines cell-type-specific pathological landscape of Alzheimer's disease.,"['Li Z', 'Martens YA', 'Ren Y', 'Jin Y', 'Sekiya H', 'Doss SV', 'Kouri N', 'Castanedes-Casey M', 'Christensen TA', 'Miller Nevalainen LB', 'Takegami N', 'Chen K', 'Liu CC', 'Soto-Beasley A', 'Boon BDC', 'Labuzan SA', 'Ikezu TC', 'Chen Y', 'Bartkowiak AD', 'Xhafkollari G', 'Wetmore AM', 'Bennett DA', 'Reichard RR', 'Petersen RC', 'Kanekiyo T', 'Ross OA', 'Murray ME', 'Dickson DW', 'Bu G', 'Zhao N.']",2025,Neuron.,https://pubmed.ncbi.nlm.nih.gov/40112813/
